title,abstract,date_publication,keywords
Bloch Oscillations of a Soliton in a 1D Quantum Fluid,"The motion of a quantum system subjected to an external force often defeats our classical intuition. A celebrated example is the dynamics of a single particle in a periodic potential, which undergoes Bloch oscillations under the action of a constant force [1, 2]. Surprisingly, Bloch-like oscillations can also occur in one-dimensional quantum fluids without requiring the presence of a lattice [3, 4]. The intriguing generalization of Bloch oscillations to a weakly-bounded ensemble of interacting particles has been so far limited to the experimental study of the two-particle case, where the observed period is halved compared to the single-particle case [5, 6]. In this work, we observe the oscillations of the position of a mesoscopic solitonic wave packet, consisting of approximately 1000 atoms in a one-dimensional Bose gas when subjected to a constant uniform force and in the absence of a lattice potential. The oscillation period scales inversely with the atom number, thus revealing its collective nature. We demonstrate the pivotal role of the phase coherence of the quantum bath in which the wave packet moves and investigate the underlying topology of the associated superfluid currents. Our measurements highlight the periodicity of the dispersion relation of collective excitations in one-dimensional quantum systems. We anticipate that our observation of such a macroscopic quantum phenomenon will inspire further studies on the crossover between classical and quantum laws of motion, such as exploring the role of dissipation, similarly to the textbook case of macroscopic quantum tunneling in Josephson physics [7].",12/5/2024,"['physics', 'quantum', 'dissipation', 'mesoscopic', 'experimental']"
Emergent Weyl-like points in periodically modulated systems and Floquet engineering,"We investigate a three-dimensional topological phase resembling a Weyl semimetal, modulated by a periodic potential and engineered through Floquet dynamics. This system is constructed by stacking two-dimensional Chern insulators and hosts Weyl-like points defined in the parameter space (kx,ky,z)subscript𝑘𝑥subscript𝑘𝑦𝑧(k_{x},k_{y},z)( italic_k start_POSTSUBSCRIPT italic_x end_POSTSUBSCRIPT , italic_k start_POSTSUBSCRIPT italic_y end_POSTSUBSCRIPT , italic_z ), distinct from conventional Weyl points in momentum space (kx,ky,kz)subscript𝑘𝑥subscript𝑘𝑦subscript𝑘𝑧(k_{x},k_{y},k_{z})( italic_k start_POSTSUBSCRIPT italic_x end_POSTSUBSCRIPT , italic_k start_POSTSUBSCRIPT italic_y end_POSTSUBSCRIPT , italic_k start_POSTSUBSCRIPT italic_z end_POSTSUBSCRIPT ). The Weyl-semimetal-like phase exhibits characteristics akin to those of Weyl semimetals, including linear dispersion near the Weyl-like points, nontrivial bulk topology, and the presence of Fermi arcs connecting the Weyl-like points. Unlike traditional Weyl semimetals, these features manifest in real space rather than momentum space. Additionally, we compute the layer-resolved Floquet Hall conductivity and demonstrate that the positions of the Weyl-like points can be controlled via high-frequency laser pumping.",12/5/2024,"['topology', 'start_postsubscript', 'end_postsubscript', 'fermi', 'laser']"
Anomalous spectrum in a non-Hermitian quasiperiodic chain,"The spectra of particles in disordered lattices can either be completely extended or localized or can be intermediate which hosts both the localized and extended states separated from each other. In this work, however, we show that in the case of a one dimensional lattice with long-range hopping and non-Hermitian quasiperiodic onsite potential, the localized and extended states in the spectrum are intermixed with each other rather than well separated.As a result, an atypical intermediate phase appears where consecutive pairs of extended states intermittently appear in the pool of localized states.We also argue that such anomalous spectral intermixing can be realized in the short-range hopping limit by appropriate engineering of the onsite potential. Moreover, we obtain that the nature of the spectrum also reveals non-standard scenarios in the complex energy plane where the complex energies encircle real ones.These findings shed light on the intricate interplay between the non-Hermiticity and quasiperiodic disorder in the system.",12/5/2024,"['spectral', 'lattices', 'anomalous', 'intermixing', 'disordered']"
Strange metal transport from coupling to fluctuating spins,"Metals hosting strong electronic interactions, including high-temperature superconductors, behave in ways that do not conform to the normal Fermi liquid theory.To pinpoint the microscopic origin of this ”strange metal” behavior, here we reexamine the transport and optical properties of the two-dimensional t-J model taking advantage of recent improvements made on the finite temperature Lanczos method (FTLM), enabling numerically exact calculations at unprecedentedly low temperatures and high spectral resolution. We find that strange metallicityis pervasive in the temperature-doping phase diagram wherever magnetic order is suppressed: it is driven by thepresence of a fluctuating spin background,and it is therefore independent on hole concentration and unrelated to quantum criticality.Our results point to a two-step transport mechanism, with short- and long-time processes associated respectively with the charge and spin dynamics, the latter being responsible for both the strange metal character and the unconventional optical conductivities seen in experiments.",12/5/2024,"['fermi', 'metallicityis', 'superconductors', 'quantum', 'metal']"
Microscopic theory of displacive ferroelectricity: applications to quantum criticality and classical phase transitions,"Accurate quantitative prediction of the finite-temperature properties of a phase transitioning system has been a long-standing challenge in condensed matter physics and materials science. Here we regard a collective vector mode as essential quasiparticle excitation of the displacive ferroelectricity. Starting from the quantum statistic description of this excitation, we develop a self-consistent, microscopically based phase-transition theory of displacive ferroelectricity. This theory enables one to use only the ground-state properties to predict the finite-temperature properties and in particular, the criticality of phase transitions, in a striking contrast to the widely used Landau-Ginzburg phenomenological description near the critical point. Its applications to the quantum paraelectrics SrTiO3 and KTaO3 as well as the classical ferroelectric PbTiO3 demonstrate remarkable quantitative agreements with the experimentally measured critical behaviors of the phase transitions and the corresponding dielectric/ferroelectric properties throughout the entire temperature ranges of the phases without fitting parameters. The theory should be general and can be utilized to understand a broad range of phase transitions in other bosonic systems.",12/5/2024,"['physics', 'ferroelectricity', 'ferroelectric', 'dielectric', 'science']"
Ternary Stochastic Neuron – Implemented with a Single Strained Magnetostrictive Nanomagnet,"Stochastic neurons are extremely efficient hardware for solving a large class of problems and usually come in two varieties – “binary” where the neuronal state varies randomly between two values of ±plus-or-minus\pm±1 and ”analog” where the neuronal state can randomly assume any value between -1 and +1. Both have their uses in neuromorphic computing and both can be implemented with low- or zero-energy-barrier nanomagnets whose random magnetization orientations in the presence of thermal noise encode the binary or analog state variables. In between these two classes is n𝑛nitalic_n-ary stochastic neurons, mainly ternary stochastic neurons (TSN) whose state randomly assumes one of three values (-1, 0, +1), which have proved to be efficient in pattern classification tasks such as recognizing handwritten digits from the MNIST data set or patterns from the CIFAR-10 data set. Here, we show how to implement a TSN with a zero-energy-barrier (shape isotropic) magnetostrictive nanomagnet subjected to uniaxial strain.",12/5/2024,"['nanomagnets', 'nanomagnet', 'efficient', 'neurons', 'computing']"
Exceptionally strong double-layer barriers generated by polyampholyte salt,"Experiments using the Surface Force Apparatus (SFA) have found anomalously long-ranged interactions between chargedsurfaces in concentrated saltsolutions. Ion clustering have been suggested as a possible origin of this behaviour.In this work, we demonstrate that if such stable clusters indeed form, they are able to induce remarkablystrong free energy barriers, under conditions where a corresponding solution of simple saltprovide negligible forces. Our cluster model is based on connected ions producing a polyampholyte salt, containinga symmetric mixture of monovalent cationic and anionic polyampholytes.Ion distributions and surface interactions are evaluated utilisingstatistical-mechanical (classical) polymer Density Functional Theory, cDFT.In the Supporting Information, we briefly investigate a range of different polymer architectures (connectivities), but in the main part of thework a polyampholyte ion is modelled as a linear chain with alternating charges, in which theends carry an identical charge (hence, a monovalent net charge).These salts are able to generate repulsions, between similarly charged surfaces, of a remarkable strength - exceedingthose from simple salts by orders of magnitude. The underlying mechanism for this is the formationof brush-like layers at the surfaces, i.e. the repulsion is strongly relatedto excluded volume effects, in a manner similar to the interaction between surfaces carrying grafted polymers.We believe our results are relevant not only to possible mechanisms underlyinganomalously long-ranged underscreening in concentrated simple salt solutions, but alsofor the potential use of synthesised polyampholyte salt as extremely efficient stabilisersof colloidal dispersions.",12/5/2024,"['chargedsurfaces', 'ions', 'polyampholytes', 'saltsolutions', 'polyampholyte']"
A minimal tensor network beyond free fermions,"Abstract:This work proposes a minimal model extending the duality between classical statistical spin systems and fermionic systems beyond the case of free fermions. A Jordan-Wigner transformation applied to a two-dimensional tensor network maps the partition sum of a classical statistical mechanics model to a Grassmann variable integral, structurally similar to the path integral for interacting fermions in two dimensions. The resulting model is simple, featuring only two parameters: one governing spin-spin interaction (dual to effective hopping strength in the fermionic picture), the other measuring the deviation from the free fermion limit. Nevertheless, it exhibits a rich phase diagram, partially stabilized by elements of topology, and featuring three phases meeting at a tricritical point. Besides the interpretation as a spin and fermionic system, the model is closely related to loop gas and vertex models and can be interpreted as a parity-preserving (non-unitary) circuit. Its minimal construction makes it an ideal reference system for studying non-linearities in tensor networks and deriving results by means of duality.",12/5/2024,"['fermionic', 'fermions', 'mechanics', 'fermion', 'linearities']"
Four-fold Anisotropic Magnetoresistance in Antiferromagnetic Epitaxial Thin Films of MnPtxPd1-x,"Antiferromagnets are emerging as promising alternatives to ferromagnets in spintronics applications. A key feature of antiferromagnets is their anisotropic magnetoresistance (AMR), which has the potential to serve as a sensitive marker for the antiferromagnetic order parameter. However, the underlying origins of this behavior remain poorly understood. In this study, we report the observation of AMR in epitaxial thin films of the collinear L10 antiferromagnet MnPtxPd1-x. In thicker films, the AMR is dominated by a non-crystalline two-fold component. As the film thickness is reduced, however, a crystalline four-fold component emerges, accompanied by the appearance of uncompensated magnetic moment, which strongly modifies the magnetotransport properties in the thinner films. We demonstrate that interfacial interactions lead to a large density of states (DOS) at the Fermi level. This enhanced DOS, combined with disorder in thinner films, stabilizes the uncompensated moment and induces a four-fold modulation of the DOS as the Neel vector rotates, explaining the observed AMR behavior.",12/5/2024,"['magnetotransport', 'ferromagnets', 'magnetoresistance', 'antiferromagnetic', 'anisotropic']"
Diffusion caused by two noises - active and thermal,"The diffusion of colloids inside an active system - e.g.formulae-sequence𝑒𝑔e.g.italic_e . italic_g ., within a living cell or the dynamics of active particles itself (e.g.formulae-sequence𝑒𝑔e.g.italic_e . italic_g ., self-propelled particles) can be modeled through overdamped Langevin equation which contains an additional noise term apart from the usual white Gaussian noise, originating from the thermal environment. The second noise is referred to as “active noise”as it arises from activity such as chemical reactions. The probability distribution function (PDF or the propagator) in space-time along with moments provides essential information for understanding their dynamical behavior. Here we employ the phase-space path integral method to obtain the propagator, thereby moments and PDF for some possible models for such noise. At first, we discuss the diffusion of a free particle driven by active noise. We consider four different possible models for active noise, to capture the possible traits of such systems. We show that the PDF for systems driven by noises other than Gaussian noise largely deviates from normal distribution at short to intermediate time scales as a manifestation of out-of-equilibrium state, albeit converges to Gaussian distribution after a long time as a consequence of the central limit theorem. We extend our work to the case of a particle trapped in a harmonic potential and show that the system attains steady state at long time limit. Also, at short time scales, the nature of distribution is different for different noises, e.g.formulae-sequence𝑒𝑔e.g.italic_e . italic_g ., for particle driven by dichotomous noise, the probability is mostly concentrated near the boundaries whereas a long exponential tail is observed for a particle driven by Poissonian white noise.",12/5/2024,"['colloids', 'thermal', 'diffusion', 'chemical', 'cell']"
"GARFIELD, a toolkit for interpreting ultrafast electron diffraction data of imperfect quasi-single crystals","The analysis of ultrafast electron diffraction (UED) data from low-symmetry single crystals of small molecules is often challenged by the difficulty of assigning unique Laue indices to the observed Bragg reflections. For a variety of technical and physical reasons, UED diffraction images are typically of lower quality when viewed from the perspective of structure determination by single-crystal X-ray or electron diffraction. Nevertheless, time series of UED images can provide valuable insight into structural dynamics, provided that an adequate interpretation of the diffraction patterns can be achieved. Garfield is a collection of tools with a graphical user interface designed to facilitate the interpretation of diffraction patterns and to index Bragg reflections in challenging cases where other indexing tools are ineffective. To this end, Garfield enables the user to interactively create, explore, and optimize sets of parameters that define the diffraction geometry and characteristic properties of the sample.",12/5/2024,"['diffraction', 'crystals', 'tools', 'challenging', 'insight']"
"Conformations, Dynamics, and Looping Kinetics of Partially Active Polymers","We investigate the conformational and dynamical properties of a partially active Rouse chain, where activity is localized within a specific segment, positioned at various locations along the chain and spanning any given length. Through analytical methods and simulations, we reveal how the location and size of the active segment influence polymer swelling patterns. Likewise, we observe that the mean squared distance between two points along the polymer, as well as the mean squared displacement of a tagged point, are notably affected by the local activity. In addition, the reconfiguration and looping dynamics show anomalous scaling behaviors, particularly in intermediate chain lengths, capturing the interplay between persistence of active motion and polymer relaxation dynamics. Our model, relevant to spatially varying activity observed in active biopolymeric systems, provides a basis for exploring more realistic models of chromatin behavior, especially those incorporating heterogeneous activity.",12/5/2024,"['reconfiguration', 'swelling', 'biopolymeric', 'polymer', 'chromatin']"
In-situ Investigation of the Phase Formation and Superconductivity in V3Si Thin Films at High Temperatures,"Vanadium silicide (V3Si) is a promising superconductor for integration with silicon-based electronics, however the interfacial growth kinetics have a strong influence on the resulting superconducting properties and are not yet fully understood. In this study, we have used neutron reflectometry to reveal the phase transformation during thin film growth driven by different annealing strategies. We examined the silicide formation when a thin layer of vanadium undergoes reactive diffusion with a silicon dioxide film on silicon at temperatures from 650–800 ∘C. To further investigate the time evolution of different phases under various annealing temperatures, a chemical model was developed and subsequent simulations were performed. The results of this model were validated using X-ray diffraction and cross-sectional TEM analysis. Correlations were observed between the structure and superconducting properties. Over-annealing films leads to complete depletion of the SiO2 barrier layer, forming diffuse interfaces and driving the formation of undesirable silicon-rich silicides. Avoiding this by controlling time and temperature, allows higher quality superconducting films to be achieved. The Tcsubscript𝑇𝑐T_{c}italic_T start_POSTSUBSCRIPT italic_c end_POSTSUBSCRIPT of the films was found to be 13 K, and the annealing conditions influenced the critical fields and the paramagnetic Meissner effect near Tcsubscript𝑇𝑐T_{c}italic_T start_POSTSUBSCRIPT italic_c end_POSTSUBSCRIPT. For optimally–annealed films, superconducting order parameters were calculated. Ginzberg-Landau theory was applied to explain flux penetration.",12/5/2024,"['silicon', 'superconducting', 'superconductor', 'neutron', 'electronics']"
Dissipation-assisted preparation of topological boundary states,"Robust states emerging at the boundaries of a system are an important hallmark of topological matter. Here, using the Su-Schrieffer-Heeger model and the Kitaev chain as examples, we study the impact of a type of experimentally realizable bond dissipation on topological systems by calculating the steady-state density matrix, and demonstrate that such dissipation applied near the system boundary can assist in preparing topological edge states of the parent Hamiltonian, irrespective of the initial state or filling. This effect stems from the matching between the phase distribution encoded in the topological edge states and the target state prepared through bond dissipation. This work provides new insights into the preparation of topological edge states, particularly in the context of Majorana zero modes.",12/5/2024,"['topological', 'insights', 'experimentally', 'hamiltonian', 'important']"
Restricted Boltzmann machine network versus Jastrow correlatedwave function for the two-dimensional Hubbard model,"We consider a restricted Boltzmann Machine (RBM) correlated BCS wave function as the ground stateof the two-dimensional Hubbard model and study its electronic and magnetic properties as a functionof hole doping. We compare the results with those obtained by using conventional Jastrow projectors.The results show that the RBM wave function outperforms the Jastrow projected ones inthe underdoped region in terms of the variational energy. Computation of superconducting (SC) correlationsin the model shows that the RBM wave function gives slightly weaker SC correlations as comparedto the Jastrow projected wave functions. A significant advantage of the RBM wave function is that it spontaneously gives rise to strong antiferromagnetic (AF) correlations in the underdoped region even though the wave function does not incorporate any explicit AF order. In comparison, AF correlations in the Jastrow projected wave functions are found to be very weak. These and other results obtained show that theRBM wave function provides an improved description of the phase diagram of the model.The work also demonstrates the power of neural-network quantum state (NQS) wave functionsin the study of strongly correlated electron systems.",12/5/2024,"['antiferromagnetic', 'doping', 'boltzmann', 'quantum', 'electron']"
Entropy estimation for partially accessible Markov networks based on imperfect observations: Role of finite resolution and finite statistics,"Estimating entropy production from real observation data can be difficult due to finite resolution in both space and time and finite measurement statistics. We characterize the statistical error introduced by finite sample size and compare the performance of three different entropy estimators under these limitations for two different paradigmatic systems, a four-state Markov network and an augmented Michaelis-Menten reaction scheme. We consider the thermodynamic uncertainty relation, a waiting-time based estimator for resolved transitions and a waiting-time based estimator for blurred transitions in imperfect observation scenarios. For perfect measurement statistics and finite temporal resolution, the estimator based on resolved transitions performs best in all considered scenarios. The thermodynamic uncertainty relation gives a better estimate than the estimator based on blurred transitions at low driving affinities, whereas the latter performs better at high driving affinities. Furthermore, we find that a higher temporal and spatial resolution leads to slower convergence of measurement statistics, implying that for short measurement times, a lower resolution may be beneficial. Additionally, we identify a self-averaging effect for the waiting-time based entropy estimators that can reduce their variance for observations with finite statistics.",12/5/2024,"['thermodynamic', 'difficult', 'markov', 'uncertainty', 'entropy']"
Magnetically-controlled Vortex Dynamics in a Ferromagnetic Superconductor,"Ferromagnetic superconductors are exceptionally rare because the strong ferromagnetic exchange field usually destroys singlet superconductivity. EuFe2(As1-xPx)2, an iron-based superconductor with a maximum critical temperature of ∼similar-to\sim∼25 K, is a unique material that exhibits full coexistence with ferromagnetic order below TFM≈19subscript𝑇FM19T_{\mathrm{FM}}\approx 19italic_T start_POSTSUBSCRIPT roman_FM end_POSTSUBSCRIPT ≈ 19 K. The interplay between the two leads to a narrowing of ferromagnetic domains at higher temperatures and the spontaneous nucleation of vortices/antivortices at lower temperatures. Here we demonstrate how the underlying magnetic structure directly controls the superconducting vortex dynamics in applied magnetic fields. Just below TFMsubscript𝑇FMT_{\mathrm{FM}}italic_T start_POSTSUBSCRIPT roman_FM end_POSTSUBSCRIPT we observe a pronounced temperature-dependent peak in both the coercivity and the creep activation energy, the latter becoming rapidly suppressed in large applied magnetic fields. We attribute this behaviour to the formation of vortex polarons arising from the unique interaction between free vortices and magnetic stripe domains. We present a theoretical description of the properties of vortex polarons that explains our main observations, showing how they lead to vortex trapping and an attractive vortex-vortex interaction at short distances. In stark contrast, strong magnetic irreversibility at low temperatures is linked to a critical current governed by giant flux creep over an activation barrier for vortex-antivortex annihilation near domain walls. Our work reveals unexplored new routes for the magnetic enhancement of vortex pinning with particularly important applications in high-current conductors for operation at high magnetic fields.",12/5/2024,"['irreversibility', 'rare', 'stark', 'ferromagnetic', 'annihilation']"
Superconducting Proximity Effect in Two-Dimensional Hole Gases,"Technology involving hybrid superconductor–semiconductor materials is a promising avenue for engineering quantum devices for information storage, manipulation, and transmission.Proximity-induced superconducting correlations are an essential part of such devices.While the proximity effect in the conduction band of common semiconductors is well understood, its manifestation in confined hole gases, realized for instance in germanium, is an active area of research.Lower-dimensional hole-based systems, particularly in germanium, are emerging as an attractive platform for a variety of solid-state quantum devices, due to their combination of efficient spin and charge control and long coherence times. The recent experimental realization of the proximity effect in germanium thus calls for a theoretical description that is tailored to hole gases.In this work, we propose a simple model to describe proximity-induced superconductivity in two-dimensional hole gases, incorporating both the heavy-hole (HH) and light-hole (LH) bands.We start from the Luttinger–Kohn model, introduce three parameters that characterize hopping across the superconductor–semiconductor interface, and derive explicit intraband and interband effective pairing terms for the HH and LH bands.Unlike previous approaches, our theory provides a quantitative relationship between induced pairings and interface properties.Restricting our general model to an experimentally relevant case where only the HH band crosses the chemical potential, we predict the coexistence of s𝑠sitalic_s-wave and d𝑑ditalic_d-wave singlet pairings, along with triplet-type pairings, and modified Zeeman and Rashba spin–orbit couplings.Our model thus presents a starting point for theoretical modeling of quantum devices based on proximitized hole gases, fueling further progress in quantum technology.",12/5/2024,"['superconductivity', 'quantum', 'semiconductors', 'superconductor', 'superconducting']"
A Tactile Void,"We mimic the mechanical response of touch mechanoreceptors by that of a gas cavity embedded in an elastic semi-cylinder, as a fingertip analogue. Using tribological experiments combined with optical imaging, we measure the dynamics and deformation of the cavity as the semi-cylinder is put in static contact or slid against model rough surfaces at constant normal force and velocity. We propose an elastic model to predict the cavity deformation under normal load showing that membrane mechanical stresses are anisotropic and we discuss its possible biological consequences. In friction experiments, we show that the cavity shape fluctuations allow for texture discriminations.",12/5/2024,"['mechanoreceptors', 'cavity', 'experiments', 'fingertip', 'tribological']"
Topological Aspects of Dirac Fermions in a Kagomé Lattice,"The Dirac fermion with linear dispersion in the kagomé lattice governs the low-energy physics of different valleys at two inequivalent corners of hexagonal Brillouin zone. The effective Hamiltonian based on the cyclic permutation symmetry of sublattices is constructed to show that the topology of Dirac fermions at these two valleys is characterized by opposite winding numbers. For spinless fermions, the Dirac semimetal phase is unstable against the many-particle interactions due to the intervalley scattering, which spontaneously breaks the translation symmetry. The Dirac fermions acquire a mass term from the simultaneous charge and bond orderings. In this phase, the developed bond texture underlies a hollow-star-of-David pattern in a tripled Wigner-Seitz cell of kagomé lattice. It is further demonstrated that the twisting of Dirac mass with vorticity leads to zero Dirac modes at the vortex core, which are intimately related to the fractionalization. The hollow-star-of-David phase is shown to have a distinct ℤ6subscriptℤ6\mathbb{Z}_{6}blackboard_Z start_POSTSUBSCRIPT 6 end_POSTSUBSCRIPT Berry phase with its sign-change counterpart of Dirac mass, i.e. the hexagonal phase, shedding light on the topological origin of zero Dirac modes around the vortex core.",12/5/2024,"['fermions', 'fermion', 'dirac', 'physics', 'dispersion']"
Orbital Optical Raman Lattice,"The spin and orbital are two basic degrees of freedom, which play significant roles in exploring exotic quantum phases in optical lattices with synthetic spin-orbit coupling (SOC) and high orbital bands, respectively. Here, we propose an orbital optical Raman lattice to study exotic high-orbital Bose condensates with Raman-induced SOC in a square lattice. We find that both the SOC and p𝑝pitalic_p-orbital interactions influence the condensed state of bosons. Their interplay results in two novel high-orbital many-body quantum phases: the uniform angular momentum superfluid phase, which features a global topological chiral orbital current, and the two-dimensional spin-orbital supersolid phase, which is characterized by the spin and orbital angular momentum density wave patterns. The former has topological Bogoliubov excitations characterized by a uniform Chern number, while the spin-orbital supersolid phase hosts topological excitations with opposite Chern numbers which respectively protect the chiral and antichiral edge modes in the neighboring supersolid clusters. Our findings may inspire a new avenue for exploring exotic SOC and high-orbital physics in optical lattices, and shall also advance the experimental progress of novel supersolids in higher dimensions.",12/5/2024,"['physics', 'quantum', 'supersolids', 'bosons', 'supersolid']"
Exciton thermalization dynamics in monolayer MoS2: a first-principles Boltzmann equation study,"Understanding exciton thermalization is critical for optimizing optoelectronic and photocatalytic processes in many materials. However, it is hard to access the dynamics of such processes experimentally, especially on systems such as monolayer transition metal dichalcogenides, where various low-energy excitations pathways can compete for exciton thermalization. Here, we study exciton dynamics due to exciton-phonon scattering in monolayer MoS2 from a first-principles, interacting Green’s function approach, to obtain the relaxation and thermalization of low-energy excitons following different initial excitations at different temperatures.We find that the thermalization occurs on a picosecond timescale at 300 K but can increase by an order of magnitude at 100 K.The long total thermalization time, owing to the nature of its excitonic band structure, is dominated by slow spin-flip scattering processes in monolayer MoS2.In contrast, thermalization of excitons in individual spin-aligned and spin-anti-aligned channels can be achieved within a few hundred fs when exciting higher-energy excitons.We further simulate the intensity spectrum of time-resolved angle-resolved photoemission spectroscopy (TR-ARPES) experiments and anticipate that such calculations may serve as a map to correlate spectroscopic signatures with microscopic exciton dynamics.",12/5/2024,"['photocatalytic', 'optoelectronic', 'photoemission', 'spectroscopy', 'spectroscopic']"
Transport Signatures of Radial Rashba Spin-Orbit Coupling at Ferromagnet/Superconductor Interfaces,"Spin-orbit coupling (SOC) emerging at the interfaces of superconducting magnetic tunnel junctions is at the heart of multiple unprecedented physical phenomena, covering triplet proximity effects induced by unconventional (spin-flip) Andreev reflections, giant transport magnetoansiotropies, sizable tunneling anomalous Hall effects, and electrically controlled current-reversing 00–π𝜋\piitalic_π(-like) transitions in Josephson contacts.Recent first-principles calculations proposed that the Rashba spin-orbit fields in twisted graphene/transition-metal dichalcogenide and van-der-Waals multilayers can—owing to broken mirror symmetries—exhibit an unconventional radial component (with spin parallel to the electron’s momentum), which can be quantified by the Rashba angle θRsubscript𝜃R\theta_{\mathrm{R}}italic_θ start_POSTSUBSCRIPT roman_R end_POSTSUBSCRIPT.We theoretically explore the ramifications of radial Rashba SOC at the interfaces of vertical ferromagnet/superconductor tunnel junctions with a focus on the magnetoanisotropies of the tunneling and tunneling-anomalous-Hall-effect conductances.Our results demonstrate that θRsubscript𝜃R\theta_{\mathrm{R}}italic_θ start_POSTSUBSCRIPT roman_R end_POSTSUBSCRIPT can be experimentally extracted from respective magnetization-angle shifts, providing a practical way to probe the radial Rashba SOC induced by twisted multilayers that are placed as tunneling barrier between ferromagnetic and superconducting electrodes.",12/5/2024,"['magnetoanisotropies', 'magnetoansiotropies', 'superconducting', 'superconductor', 'ferromagnetic']"
Copper delocalization leads to ultralow thermal conductivity in chalcohalide CuBiSeCl2,"Mixed anion halide-chalcogenide materials have attracted considerable attention due to their exceptional optoelectronic properties, making them promising candidates for various applications. Among these, CuBiSeCl2 has recently been experimentally identified with remarkably low lattice thermal conductivity (κLsubscript𝜅𝐿\kappa_{L}italic_κ start_POSTSUBSCRIPT italic_L end_POSTSUBSCRIPT). In this study, we employ Wigner transport theory combined with neuroevolution machine learning potential (NEP)-assisted self-consistent phonon calculations to unravel the microscopic origins of this low κLsubscript𝜅𝐿\kappa_{L}italic_κ start_POSTSUBSCRIPT italic_L end_POSTSUBSCRIPT. Our findings reveal that the delocalization and weak bonding of copper atoms are key contributors to the strong phonon anharmonicity and wavelike tunneling (random walk diffusons). These insights deepen our understanding of the relationship between bonding characteristics, anharmonicity, delocalization, and vibrational dynamics, paving the way for the design and optimization of CuBiSeCl2 and analogous materials for advanced phonon engineering applications.",12/5/2024,"['optoelectronic', 'neuroevolution', 'experimentally', 'insights', 'bonding']"
Type-II Dirac nodal chain semimetal CrB4,"Dirac nodal line semimetals with topologically protected drumhead surface states have attracted intense theoretical and experimental attention over a decade. However, the study of type-II Dirac nodal line semimetals is rare, especially the type-II nodal chain semimetals have not been confirmed by experiment due to the lack of ideal material platform. In this study, based on symmetry analysis and the first-principles electronic structure calculations, we predict that CrB4 is an ideal type-II Dirac nodal chain semimetal protected by the mirror symmetry. Moreover, there are two nodal rings protected by both space-inversion and time-reversal symmetries in CrB4. More importantly, in CrB4 the topologically protected drumhead surface states span the entire Brillouin zone at the Fermi level. On the other hand, the electron-hole compensation and the high mobility of Dirac fermions can result in large magnetoresistance effects in CrB4 according to the two-band model. Considering the fact that CrB4 has been synthesized experimentally and the spin-orbit coupling is very weak, CrB4 provides an ideal material platform for studying the exotic properties of type-II Dirac nodal chain semimetals in experiment.",12/5/2024,"['decade', 'fermi', 'rare', 'fermions', 'theoretical']"
Perspective on 2D perovskite ferroelectrics and multiferroics,"Two-dimensional (2D) ferroelectrics and multiferroics have attracted considerable scientific and technological interest in recent years due to the increasing demands for miniaturization and low energy consumption of electronic devices. At present, the research on 2D ferroelectrics and multiferroics is still focused on van der Waals materials, while the known bulk ferroelectric and multiferroic materials are mostly found in perovskite systems. The ability to prepare and transfer 2D perovskite oxides has provided unprecedented opportunities for developing ferroelectrics and multiferroics based on 2D perovskites. In this Perspective, we review the research progress on 2D ferroelectrics and multiferroics in inorganic perovskites in terms of different ferroelectric and magnetoelectric coupling mechanisms. The improper ferroelectricity and novel magnetoelectric coupling mechanisms discovered in 2D perovskites are emphasized, and then the main challenges and future development direction are put forward.",12/5/2024,"['ferroelectricity', 'ferroelectric', 'ferroelectrics', 'technological', 'magnetoelectric']"
